,用户ID,评论时间,评论文本,positive_prob,sentiment,neutral_prob,negative_prob
10,-Gne-,2022-08-08 00:13,"异性恋结婚，男方家里要给他买房子买车子，女方家里要给她置办嫁妆

而我们都不说结婚，仅仅得到家里人的认可，和自己的ta在一起生活，大多数只需要家里人一句简单的同意的话",0.9948,正面,0.0,0.0051
11,秋良AKIRA_,2022-08-09 02:01,真好我跟我爸妈说了很多遍我不会结婚，有时候他们会沉默又时候他们会反驳，其实我爸妈是担心我以后老了怎么办我有时候会隐约觉得，其实他们都知道了，只是不敢说或者不知道该怎么办吧唉,0.0726,负面,0.0081,0.9192
12,我给液晶电视,2022-08-11 02:23,"我今天有跟我妈暗示说不结婚，结果我妈哭了然后一直不说话，最后慢慢的抽泣说，你怎么能有这种不正常,非“常人”的想法....
然后我和我爸关系又很差，我妈又不理解，我感觉我真的快受不了了.....",0.0405,负面,0.0033,0.9562
13,大盘椒盐土豆块,2022-08-19 18:52,建议大家要出柜还是等经济独立！一定！,0.8971,正面,0.0782,0.0246
14,心态要超级好,2022-10-27 23:31,@咚嘿听见啦,0.9948,正面,0.0001,0.005
15,芝麻馅的修勾汤圆,2022-08-17 20:07,救命我看成了你爸出柜,0.9809,正面,0.0025,0.0166
16,叫我邱邱就好了,2022-08-19 13:48,我大概能理解up爸爸的心情，我是有点崆峒的，但是好巧不巧我从初中到大学我身边玩的最好的朋友都出柜了（男生女生都有），就这个事情发生在自己身边把，接受是真的难以接受但是他们是我爱的人，虽然这条路很难（我也是真的不希望他们走这条路），但是改变不了的话我还是一样尽量保护到他们,0.9944,正面,0.0003,0.0053
17,岩一YANYI,2022-08-19 17:14,"真好，现在的家长大部分都比较开明，我来客观说一下吧（现实主义非理想主义）现实主义！注意是现实主义！（接受不了的同学可以跳过）
首先，同性没有错，不是病，ta们有属于自己的恋爱自由（给一些老封建说）
对于父母不同意或不理解的朋友们可以看看接下来我说的，有些父母知道了真相后会有过激的反应，我做不到改变他们的想法，不过我可以把他们担忧的点告诉你，希望你不要太过难受，他们会为你的未来考虑，比如其实txl并不是特别稳定（虽然yx也差不多），未来没有孩子谁来养老，虽然现在社会稍微开明了一些，但txl的朋友还是少数，年少你可以为了爱拼搏，赌一把，但你年龄大了之后不会这么想了，年龄越大越需要稳定，在大部分父母看来，他们觉得你年龄太小，考虑的太少，你可以赌一把，但他们不敢，关心则乱。还有就是不要把现实和小说搞混，现实往往要经历比小说更加残酷的困难，会有人理解txl，但这确确实实不会比没有偏见的人多，会被人戳着脊梁骨说bt，说ex，学生可能还会被霸凌（不可否认这些事情的发生）父母怎么可能不担心，希望这么想会帮助你理解父母，记住，这个世界上最爱你的人就是父母，甚至比你还爱你，自己，不要觉得孤单无助，总会有人理解你
但作为旁观者，我们不应该歧视，可以鼓励，告诉ta们没关系，ta们有权追寻自己想要的感情，不要歧视！！！！
但也不应该将txl大众化！！
理性来说：不应该歧视，不应该用另类的眼睛看这些朋友们，但却不能让其成为社会的主流，相信聪明的人能懂我的意思（会让部分同学感到不快，但这就是事实）",0.9812,正面,0.0002,0.0186
18,想和水月舌口勿,2022-08-18 18:44,我纸性恋 也想等差不多时候再说了,0.9981,正面,0.0001,0.0017
19,温柔的no怼怼,2022-08-19 18:02,我也爆哭，阿爸这个称呼好可爱，好温柔，好温暖，然后爸爸好温柔啊，我真的要哭了，,0.9969,正面,0.0,0.0031
20,Dusea,2022-08-18 19:25,可能我的父母离开之后，也会对我带着不结婚生子的深深埋怨而去吧，倘若我真的说了，可能连家人都做不了，抱歉，我真的要隐瞒一辈子,0.0278,负面,0.0018,0.9704
21,内内大盗,2022-08-17 20:48,《明白，别哭》多好的老爸啊，四个字让孩子如释重负。有这样一个温柔体贴的老爸是一辈子的福气。up加油！,0.9646,正面,0.0052,0.0302
22,斯莱特林优秀学子川野,2022-08-20 19:50,我给我妈妈说过，她说在我们这个小县城可能接受不了，如果真的想在一起的话要好好赚钱去大城市，那里的接受度包容比较高,0.4837,负面,0.0261,0.4902
23,冷酷の清心,2022-08-19 09:06,换我妈直接踹开我房间的门，然后把我骂一顿，最后再联合亲戚朋友一起骂我,0.0063,负面,0.0003,0.9934
24,开森的溜溜梅,2022-08-16 11:53,在你说到这个话题的时候，你阿爸可能已经知道结果了，如果不同意的话可能已经对你强制发问了,0.0448,负面,0.0394,0.9157
25,杰歪爱草,2022-08-18 11:46,其实有旁侧敲击过妈妈，说以后不结婚，不找男朋友。妈妈说，你以后的人生你自己过我们又不能跟你过一辈子,0.637,正面,0.0128,0.3501
26,罐装旺仔阿,2022-08-17 22:55,up好勇敢，祝你以后也一直勇敢下去，找到可以一起幸福的人，也给爸爸点个赞，“没事，别哭”，真的太戳我了。,0.9895,正面,0.0001,0.0104
27,荔秋leture,2022-08-15 19:45,把出柜变成论文编写采访，不愧是up,0.9254,正面,0.0006,0.074
28,想吃虾仁炒饭,2022-08-19 03:08,看成老爸出柜的经历还有救吗,0.9562,正面,0.0015,0.0422
29,一身正气走路的年糕,2022-08-20 02:48,真好... 四爱都不知道从哪里说起...,0.9857,正面,0.0019,0.0124
30,曾经的苏维埃,2022-08-12 10:53,不是所有的父母都能接受的，所以多一事还不如少一事，别太天真了，成年人还是要考虑利弊的,0.0977,负面,0.0224,0.8798
31,夢裡藍天_,2022-08-21 00:28,提到哥哥张国荣那里的时候我实在是绷不住了……希望up主能像哥哥那样勇敢地去追爱，祝up幸福！！！🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈,0.9992,正面,0.0,0.0008
32,莫小希_,2022-08-19 18:10,我跟我妈说我喜欢女孩子可我妈觉得我在开玩笑,0.514,正面,0.0011,0.4849
33,眉眼风月顾,2022-08-09 21:41,我爸妈以死逼我结婚，我不知道该怎么办了,0.8908,正面,0.0007,0.1085
34,3评不要这么6,2022-08-22 07:04,这个圈子需要更多像up一样勇敢的人，这样不管不顾的一直烂下去也不是办法。,0.7814,正面,0.0281,0.1904
35,Symon-1998,2022-08-20 00:09,我他妈的都要哭出来了。我要是出柜不管会不会被骂应该都会大哭一场吧。从小学就发现的秘密被隐瞒十几年，说出来那一刻应该会有前所未有的轻松吧,0.708,正面,0.0582,0.2338
36,楠洱_,2022-08-19 17:43,我现在高二我打算大学后跟我家里人出柜，而且我爸妈的观念比较死板 真的想等一等或许时间可以改变一些事,0.985,正面,0.0007,0.0143
37,南辞客卿,2022-08-17 12:30,每当看到这种视频痛苦便随之而来 我最可笑的地方是我都不用试我就知道答案是什么,0.0461,负面,0.096,0.8579
38,今天吃西瓜了嘛,2022-08-14 23:32,好棒啊你的爸爸 一句没事的真的很感动 出柜的第一瞬间并不是呗唾弃被谩骂而是鼓励和安慰 你爸爸真的太棒啦！！ 也祝你幸福哦！,0.9993,正面,0.0001,0.0006
39,稀饭烂烂子,2022-08-21 20:38,你爸太好了，我已经跟我爸断绝关系了,0.9862,正面,0.0001,0.0137
40,常磐灵渊,2022-08-19 01:23,梦中情家人,0.9979,正面,0.0003,0.0018
41,mattGrayson,2022-08-05 08:07,大多数父母可能在第三句就直接爆发了…,0.9499,正面,0.0174,0.0325
42,柚屿wasabi,2022-08-20 05:31,唉好羡慕up有这样的父母呀，我虽然是异性恋但是不想生孩子，之前暗示着跟我爸说过自己这种意愿，然后他就很老旧的思想觉得子孙满堂才是幸福的，给他拿出数据看他也不听，还是坚信老一套比较封建的想法。真的有点难受的，只能希望以后他能改变想法吧因为我真的很恐孕,0.9717,正面,0.0007,0.0276
43,真的是盘盘诶,2022-08-19 21:59,希望所有的坚冰终将被融化，所有的不解都化作尊重,0.9853,正面,0.0025,0.0122
44,童易昕,2022-08-15 00:42,抱抱up主，你和爸爸都是温柔的人啊我大二也和妈妈出柜了，后来啊家里人有一半知道了，我无所谓了，妈妈怕我孤独终老，还会想着我结婚，但也就这样了，没再提了，好像我们都淡忘了一样我好好挣钱给他们养老，给自己也攒钱养老吧,0.8141,正面,0.0002,0.1857
45,是小鱼干诶,2022-08-14 12:04,救命 好多铺垫，是我的话，第一句话应该就直接说了,0.0843,负面,0.017,0.8987
46,木木木昕,2022-08-18 08:50,哦莫，up的爸爸好温柔，但是我爸爸不一样，我不敢给他说我是男通讯录,0.5073,正面,0.0034,0.4892
47,游弋的飞鱼87,2022-08-14 20:43,看哭了。今天晚上真的差一点我就和妈妈坦白了。但是还是忍住了。我难以想象她和爸爸知道了会怎么样如果我有这样的父母该多好,0.9734,正面,0.0038,0.0228
48,大知识库,2022-08-15 07:31,刚开始感觉纯文字出柜有什么的。但是还是被触动了。眼泪不自觉就下来了,0.2081,中性,0.4602,0.3316
49,poul_quq,2022-08-20 00:39,普通异性恋女，看完了，哭了，爸爸妈妈的爱，真好,0.839,正面,0.0018,0.1592
50,Eeeee__m,2022-08-14 22:40,其实并不是每个家长都会赞同,0.1628,负面,0.0146,0.8224
51,淮中晚泊犊头,2022-08-19 18:44,羡慕了真的，我觉得我妈是接受不了的，大不了就瞒一辈子吧，总比断绝关系或者叫她带着对我不结婚不生孩子的怨恨进坟墓好,0.9126,正面,0.0015,0.0859
52,阿氚子,2022-08-15 06:18,我也问过我爸，三观直接碎一地,0.057,负面,0.0011,0.9419
53,口挪dio哒,2022-08-16 02:24,有没有人能科普一下为什么会有同性恋这个心理,0.1292,负面,0.1181,0.7526
54,账号已注销,2022-08-10 13:56,前几天我也出柜了，意外的是我爸并没有责骂我，而是让我想清楚。,0.975,正面,0.0016,0.0233
55,可乐是真乐,2022-08-19 08:28,与其让对象接受，更难的是让父母接受,0.6912,正面,0.013,0.2958
56,柚子的睫毛,2022-08-17 09:22,爸爸一开始就知道女儿要说什么 但还是一直耐心的听完女儿要说的话，好温柔好尊重女儿,0.9946,正面,0.0001,0.0053
57,云熙紫玉,2022-08-09 23:58,同性恋圈会不会乱，我了解满乱的，还有双性恋两边骗的,0.9196,正面,0.0014,0.079
58,游弋的飞鱼87,2022-08-14 20:41,这个聊天记录我想保存。如果有一天我和我爸妈说用得到吧，当然可能没那么顺利,0.3185,负面,0.1329,0.5484
59,靛雷绛巽光时,2022-08-21 02:10,我父母应该还算开明，他们自认为婚姻幸福在我看来非也，对结婚没向往没期待无感，但是并不会告诉父母出柜的想法，我只是觉得没必要，我甚至都没明白我到底是不是，不管男女相处久了新鲜感一过我都觉得挺烦的，但是又有精神洁癖，看见那些乱的我又崆峒，我还是孤独终老吧！,0.9521,正面,0.0011,0.0467
60,天真与成熟,2022-08-18 01:10,这样的家人真的好好哦,0.998,正面,0.0,0.0019
61,致X苦味剂LilPINKL,2022-08-18 01:50,好好的爸爸,0.9953,正面,0.0008,0.0038
62,楠vvvVv南,2022-08-19 00:52,真的看哭了，希望天底下所有人都能找到自己的幸福，都能得到自己家人的支持,0.9926,正面,0.0002,0.0072
63,柠蒙叔,2022-08-04 21:47,羡慕有这种家人,0.9561,正面,0.0029,0.0408
64,草莓味の樱桃酱,2022-08-17 19:16,love is love,0.0748,负面,0.1712,0.754
65,葵有曦,2022-08-19 19:59,每个人都有追求自己幸福的权利，支持up，以后的日子也要开开心心,0.9885,正面,0.0014,0.0101
66,Ambabaewl,2022-08-19 20:12,发了两次都出现在我的首页，这是缘分吗,0.0237,负面,0.0323,0.944
67,白漂史我快乐,2022-08-22 00:44,厚礼谢，我得沉重的思考一下我为什么会刷到这个视频了,0.9518,正面,0.0007,0.0474
68,凉闲不想变月半,2022-08-22 00:39,没成年，我已经出柜了，爸妈都很开明，跟我爸说的时候他甚至笑嘻嘻的问我：你喜欢靓仔啊？,0.7628,正面,0.011,0.2262
69,账号已注销,2022-08-18 18:19,别说了，问就一句话：这个变态不是我儿子和父母出柜要做好离家准备,0.5005,正面,0.0149,0.4845
70,JZ_川,2022-08-21 13:21,妳有一个很好的爸爸，祝妳幸福😁，我不喜欢解释那么多，所以我到时候打算找几个视频给他们看,0.9949,正面,0.0,0.0051
71,Crazy-mind,2022-08-21 09:26,昨天跟我同事吃饭，我同事生了个闺女，她生娃还有带娃受了不少罪，她昨天就跟我讲，她女儿将来只要开心，在不犯法的前提下爱干嘛就干嘛，她给房子给车子，不结婚也没关系，喜欢女孩子也没关系，最重要就是她感到幸福，我支持她，社会慢慢发展，开明的人会越来越多的，,0.9806,正面,0.0,0.0194
72,真闲X,2022-08-14 01:01,up牛皮，居然直接心平气和和父亲谈论，我可能会直接说,0.1166,负面,0.0013,0.8821
73,芝心的姐妹,2022-08-16 22:54,看哭了,0.7744,正面,0.031,0.1943
74,旅客肚饿粉丝少夫人,2022-08-20 01:40,爸爸还是有些不舒服的估计，但是爸爸知道应该尊重你生而为人的本性，你的选择，爸爸很好，不过爸爸也需要慢慢接受，需要一个过程，爸爸很棒！,0.9723,正面,0.0003,0.0274
75,不想玩辣丷,2022-08-19 22:08,我曾经问过我爸妈，我爸没回答，我妈的评价是，能接受但是不愿意发生在自己身上，因为怕邻居亲戚们嚼舌根，被摆上餐桌当成茶余饭后的闲话（我从小就听到过各种各样的闲话，可能因为我年龄小加上在大人面前内向他们聊这些东西都没有避讳我）,0.6331,正面,0.0077,0.3592
76,想变攻的北浔,2022-08-14 19:24,羡慕哦，像我这种家庭分裂的，有些时候交流都是个问题,0.763,正面,0.0026,0.2344
77,毕竟只是个混子,2022-08-21 01:09,嗯。。。我直接出的，反正我就是，表示，你们接不接受问题不大，我尽量让你们接受不接受也可以，反正我也不一定能找到对象,0.4746,负面,0.0137,0.5117
78,一把子秒了,2022-08-20 18:17,喜欢看一些美好出柜经历做梦,0.996,正面,0.0001,0.0039
79,吾是酋,2022-08-08 09:44,赶紧回家，阿爸准备了你爱吃的七匹狼,0.679,正面,0.0135,0.3074
80,丝氝坷,2022-08-08 21:21,所以你是个女生？,0.0131,中性,0.853,0.1336
81,半笺花影,2022-08-18 16:21,好感动啊，有这样的父亲是多美好多幸运的一件事！而且up主向父亲坦白的方式也特别好！,0.9987,正面,0.0,0.0013
82,Ginソ,2022-08-21 12:45,祝up幸福！！！,0.9365,正面,0.0461,0.0173
83,狗不理熊2,2022-08-21 13:14,你说“阿爸”，我就想是不是我们广西的，还真是，祝福up主，up爸爸好开明，要是我爸妈得打断我腿,0.3522,负面,0.0085,0.6393
84,左小波a,2022-09-11 22:04,"有家人支持是很幸福的
台灣比較開放
我初中二年級就跟我媽出櫃了
往後都是正大光明的帶著女朋友回家
也祝福up主",0.9993,正面,0.0,0.0006
85,锅盖小王纸,2022-08-15 13:16,前半段像极了一个采访,0.9815,正面,0.0001,0.0184
86,懮桑,2022-08-29 07:53,准高三，很后悔高一高二没遇见夫人虽然我电学还可以,0.2217,负面,0.0064,0.772
87,十三月凉tri,2022-08-17 22:20,阿爸好温柔！祝up幸福！,0.9986,正面,0.0005,0.0009
88,星河限落日记,2022-08-14 23:28,我要是这样我爹可能直接和我断绝关系,0.9968,正面,0.0001,0.0031
89,Win-winwin,2022-08-04 01:51,阿爸真好,0.9966,正面,0.0004,0.0029
90,阿弥陀丸参上OvO,2022-08-09 02:40,这句我也爱你扎心了,0.8825,正面,0.0011,0.1164
91,掀你板板,2022-08-15 09:28,我看完了这个真的忍不住哭 可能就是家人的不理解吧     本,0.7634,正面,0.0882,0.1484
92,匿弋,2022-08-19 20:04,哇，我拍的评论正好是第521条诶！！,0.9928,正面,0.0014,0.0058
93,冷狱佳,2022-08-21 12:24,up是少数民族嘛,0.986,正面,0.0003,0.0136
94,敲暴你脑阔,2022-08-15 23:48,恭喜！！,0.7732,正面,0.1732,0.0535
95,那就叫米虫吧,2022-08-09 02:29,看哭了真的是很温柔的一对家长和孩子啊。,0.9371,正面,0.0552,0.0076
96,BakerStGirl,2022-08-16 08:58,祝福，羡慕up，我家没这么开明,0.8853,正面,0.0049,0.1097
97,2-Irving-11,2022-08-09 11:00,怎么感觉在哪看过,0.3255,负面,0.002,0.6723
98,月辜,2022-08-13 18:41,加油,0.886,正面,0.0774,0.0364
99,薯饼妙脆角zz,2022-08-09 13:17,我至今不敢和我父母说,0.3599,负面,0.0026,0.6374
100,纯多肉莓莓加芝士,2022-08-21 15:20,真好 祝福up 要好好的,0.9811,正面,0.0056,0.0132
101,Hoshino2108,2022-08-21 13:25,跟爸妈提过很多次但是他们一直以为我在开玩笑,0.6068,正面,0.1759,0.2172
102,Bad-Copsunique,2022-08-21 12:51,这样的家长太难得了吧慕了，祝福up！,0.9926,正面,0.0012,0.0062
103,G7_Y,2022-08-21 12:48,考虑是否把视频发给我妈,0.0581,负面,0.0005,0.9413
104,冷了裹窗帘,2022-08-21 10:24,我靠 我跟我妈说我不喜欢男的喜欢女的怎么办 我这个纯属开玩笑 因为我是双 然后我妈来一句 你还小你懂什么,0.6426,正面,0.1829,0.1743
105,史努比小琳儿,2022-08-21 10:23,为什么我n久以前就看过这个视频了,0.5529,正面,0.1894,0.257
106,今夜玩到明天醒,2022-08-21 10:17,@ddtimetoshine 我哭了,0.9935,正面,0.0003,0.0061
107,乎如凭虚御风,2022-08-21 10:11,假的，不可能的，不存在的，我不信的，做不到的…,0.0088,负面,0.002,0.9892
108,子衍_official,2022-08-21 09:16,真好 哭了,0.7045,正面,0.0514,0.2437
109,不会驯龙的济帆,2022-08-21 08:23,看到这些视频，真的很感动，因为有这样一个温柔，能善解人意的家长真的不容易，我知道自己的性取向，但是我不说，不是我不敢说，不想说，主要是家里不止我一个孩子，我的弟弟比我小八岁，如果我和家里闹掰的话，我还有几年就可以独自离家，但是我怕他们把气撒在我弟弟身上，我要保证我的离开对每一个人都是有好处的,0.9165,正面,0.0001,0.0834
110,我可不是bt,2022-08-21 02:34,那天我给我妈看了唐山的事情，我就好像开玩笑一样说妈你看男的都这样了我以后和女生在一起你会不会答应，我妈就很认真的对我说如果我喜欢她可以接受，她说她是爱我的，但爱又不是去控制我的感情，听到这个我那会眼泪差点憋不住,0.6187,正面,0.0042,0.3771
111,KDHN,2022-08-21 01:10,我父母是无所谓 我爷奶不允许不过没关系啦,0.7696,正面,0.0291,0.2013
112,小屿ol,2022-08-21 00:51,祝等我以后出柜也能如此顺利,0.9977,正面,0.0,0.0022
113,余桁_yuheng,2022-08-20 18:35,@请问您要来点狗勾吗 给我看哭了,0.2757,负面,0.3363,0.3878
114,MONUMENTS,2022-08-20 18:05,我是属于那种对男对女都没有感觉的情况，我准备去看看心理医生,0.1887,负面,0.0182,0.793
115,怜幽晚晴,2022-08-20 11:51,不知道为什么，看着看着就哭了up要幸福啊，up的爸爸真的很温柔也很有耐心，并且很开明,0.973,正面,0.0,0.027
116,是庭空鸭,2022-08-20 11:44,哭了好感动祝up一直幸福下去,0.9975,正面,0.0001,0.0024
117,1248號宇宙飛船,2022-08-20 09:57,有这样开明的父母太不容易了。。,0.4412,正面,0.3941,0.1642
118,生之须臾,2022-08-20 08:31,其实包办婚姻某种程度维护了社会的稳定,0.9975,正面,0.0001,0.0023
119,グリーンピース,2022-08-20 03:27,祝你幸福，还有，注意安全,0.9804,正面,0.0009,0.0187
120,刘宇和北航总要上一个,2022-08-20 02:57,突然就哭了，虽然我不是，但是up的爸爸真的好温柔，这两天和我爸闹矛盾了(他的错）他出差回来在家里到处骂人，搞得家里人心惶惶，我也想要这样温柔的爸爸,0.7667,正面,0.0011,0.2322
121,嗑昏头了,2022-08-20 01:13,泪目了抱抱up，这种事情压在心里那么久，很辛苦吧。你的爸爸真的好好。看了很感动，但也很心疼你，希望你可以幸福,0.9836,正面,0.0002,0.0162
122,上课别别别别睡觉,2022-08-20 00:57,@是个帅哥你信不信 泪爆了出来,0.9617,正面,0.0222,0.0161
123,天地肃静且待我来,2022-08-20 00:25,这样的家长真实存在吗？羡慕麻了,0.1849,中性,0.6207,0.1941
124,一只友善6636,2022-08-19 22:55,不知道为什么，能看到up得到家人的支持真的好感动哇,0.9352,正面,0.001,0.0638
125,浅烟夏聚,2022-08-19 22:31,嗯嗯嗯虽然我是直的，但是我家人根本不会在一开始就听我讲那些东西的，他们只会觉得我好奇怪问东问西然后直接等我回家在我房间门外大声喊我问我到底发这么多干嘛，微信是万万不可能的,0.9231,正面,0.0005,0.0764
126,淺淺嫣然笑,2022-08-19 22:06,祝你幸福~,0.9968,正面,0.0015,0.0017
127,不在碎觉在干饭,2022-08-19 21:55,@ck丢球球 好温柔,0.9981,正面,0.0001,0.0019
128,琑未衬2,2022-08-19 20:41,祝你幸福,0.9986,正面,0.0001,0.0013
129,这一波惊魂,2022-08-19 20:16,哭了😭,0.9981,正面,0.0002,0.0017
130,利威尒阿克曼,2022-08-19 18:36,其实我个人跟up有相似的经历，但是他的家人表示了反对……,0.249,负面,0.2798,0.4711
131,HAppskwn,2022-08-19 11:34,@云酒e,0.9943,正面,0.0008,0.0048
132,-美子,2022-08-19 10:04,@曌的书签,0.9951,正面,0.0002,0.0047
133,工藤小丸子211,2022-08-18 17:46,咋想哭呢,0.8624,正面,0.001,0.1365
134,临江___,2022-08-18 12:26,@梓了个大期 爸爸好温柔，泪目了😭,0.9973,正面,0.0,0.0027
135,牧明不是软妹,2022-08-18 10:39,谢谢，看哭了,0.975,正面,0.0012,0.0237
136,万岭花开_Echo,2022-08-17 23:43,真好，有这么开明的家长,0.9338,正面,0.0004,0.0658
137,绝对盐分,2022-08-17 23:28,好温柔啊啊啊啊啊啊,0.9976,正面,0.0001,0.0023
138,哎呀呀羡羡呀,2022-08-17 21:00,好温柔的阿爸我以前拿这个问题去问我妈（当然我不是同只是看看他们想法）她说就不要我了，我要去问我爸她直白地说我可能会挨一巴掌有这么开明的父母真的幸福,0.963,正面,0.0076,0.0293
139,LevCole,2022-08-16 19:14,我想知道有多少人是的（当然我也）,0.9609,正面,0.0057,0.0334
140,荔枝isa浪嘿呦,2022-08-15 22:23,妈呀怎么我也有点想哭因为女儿的小心翼翼和父亲的体贴理解,0.463,正面,0.1264,0.4106
141,秘密欧体,2022-08-15 19:17,哇，爸爸好好啊,0.9716,正面,0.0008,0.0276
142,小于会开心吗,2022-08-11 01:11,要是有这么多的家长能这么开明就好了,0.9875,正面,0.0029,0.0095
143,烂糊面好吃,2022-08-09 13:30,无奈的父亲，可又有多少是有好结果的呢？,0.057,负面,0.3935,0.5494
144,火山丸子高汤,2022-08-08 08:17,好羡慕呀，已经没有后顾之虑了,0.5115,正面,0.0061,0.4824
145,峰会子,2022-08-04 00:41,真好,0.9906,正面,0.0016,0.0077
146,城西的猫cici,2022-08-25 10:59,祝up主幸福啊！,0.9913,正面,0.0048,0.0039
147,似晨晨呢,2022-08-24 19:51,慕了，我和他在一起，都不知道怎么和家里人开口了，可是我真的很喜欢他…别人口中的模范夫夫，我也害怕因为家里人导致我们分开，他说过，这辈子就是要和我一直走下去的,0.9816,正面,0.0001,0.0183
148,sky光遇红提,2022-08-24 18:40,哈哈哈我开着玩笑问我妈说的时候，我妈瞪着我说:别人怎么样和我没关系，你要是敢老娘打断你的腿,0.0702,负面,0.0195,0.9103
149,冰犇小王子,2022-08-24 10:48,好开明的父母,0.9784,正面,0.0007,0.0209
150,廖憨憨同学,2022-08-24 05:39,有没有啦啦,0.908,正面,0.0008,0.0912
151,纱bee,2022-08-24 00:52,c，完了，我才六年级就弯了，以后不知道怎么跟我爸妈说,0.0152,负面,0.0015,0.9833
